word,topicid,topicval
swiss,"[18, 7, 0, 2, 4, 9, 5, 19, 1, 14, 15, 13, 12, 11, 10, 8, 6, 16, 3, 17]","[0.99995483748367164, 4.5162511036231513e-05, 5.2911236894558038e-12, 7.5629710227883425e-17, 3.660961115411293e-22, 1.6220252432948533e-28, 1.6711019881371417e-62, 2.9885356606083244e-82, 4.268837006500914e-137, 9.0207856329308364e-148, 6.2400491069749439e-321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mathematician,"[1, 14, 19, 9, 7, 2, 18, 5, 0, 6, 4, 15, 16, 13, 12, 11, 10, 8, 3, 17]","[1.0, 2.1287079405741716e-22, 5.008078552780103e-32, 3.3762008091925751e-45, 2.0176158209613568e-63, 5.0893133040955216e-68, 2.0808878698327775e-89, 7.1978823046971926e-109, 1.4776381112012481e-180, 3.5943238952801963e-253, 1.347185010545243e-277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jacob,"[7, 18, 0, 2, 4, 9, 5, 19, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999639059681122, 3.6092268161127502e-06, 1.7448646981060462e-10, 1.8815821465384472e-12, 1.1053380277785968e-22, 9.9240088117741704e-23, 1.5450074817553171e-74, 1.4503314614559866e-81, 5.4159967624679428e-95, 5.6279499562055843e-122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bernoulli,"[0, 7, 18, 4, 2, 9, 5, 19, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999703032543563, 2.9181787988471801e-06, 5.1461694844644589e-08, 3.4051003260813083e-11, 6.9663273085036832e-24, 9.9612980300606243e-50, 9.485132967429959e-99, 6.8808461609047571e-110, 3.1913841642031141e-175, 8.7882181312656997e-180, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
studi,"[6, 14, 1, 5, 9, 19, 2, 7, 18, 13, 12, 11, 10, 8, 15, 16, 4, 3, 17, 0]","[1.0, 1.6751238538461934e-63, 1.500822754240765e-85, 5.1994970821846266e-117, 7.1404735457288962e-137, 1.0370197200503455e-162, 3.5786800803298566e-169, 4.4620079641319891e-179, 4.0872613208434474e-215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compound,"[13, 14, 1, 19, 8, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 15, 16, 17, 0]","[1.0, 1.3568936556329485e-226, 9.7256625096179208e-234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
interest,"[2, 9, 7, 18, 5, 0, 19, 1, 4, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999999996532551, 3.4552388080225968e-11, 5.7128653708679835e-14, 4.0572448767922371e-14, 5.890981875727791e-28, 5.2161237986211468e-33, 2.0066472709022118e-44, 3.7962953052306274e-53, 2.0369700359495622e-65, 3.6074282904724413e-87, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
aris,"[15, 4, 0, 18, 7, 2, 9, 5, 19, 1, 14, 12, 11, 10, 13, 8, 6, 16, 3, 17]","[1.0, 2.7358842765005624e-42, 1.5988066402231886e-46, 4.5189881797241066e-49, 2.4509931099049779e-54, 5.0935931987789298e-98, 7.6333332093104883e-132, 1.1640000441499026e-206, 5.2498559780766531e-235, 4.7643331249670914e-316, 2.8661687828109102e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
limit,"[14, 1, 19, 7, 9, 2, 18, 5, 0, 6, 15, 13, 12, 11, 10, 8, 16, 4, 3, 17]","[1.0, 2.5470255063760952e-32, 2.9908163617667271e-46, 1.5533306524332065e-47, 8.7969737135471325e-61, 1.6443792745370982e-70, 5.4448415991363867e-75, 1.2141104431140637e-88, 1.2543206906470815e-199, 2.02421890919064e-288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
n,"[14, 1, 9, 19, 7, 15, 16, 13, 12, 11, 10, 18, 8, 6, 5, 4, 3, 2, 17, 0]","[1.0, 1.4090052318901765e-88, 4.8673452712650199e-236, 1.2248334403820325e-269, 1.2351641146031164e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
